bn:00051760n	location#n#1
bn:00050343n	lead#n#5
bn:00004117n	angle#n#1
bn:00073038n	space#n#2
bn:00049551n	laboratory#n#1
bn:00081570n	workplace#n#1
bn:00030635n	vacuum#n#2
bn:15154456n	creation_of_technology
bn:00058406n	oar#n#1
bn:00081637n	worm#n#4
bn:00069865n	screw#n#4
bn:00052559n	simple_machine#n#1
bn:00005956n	artifact#n#1
bn:00012166n	boot#n#1
bn:00035729n	footwear#n#2
bn:00023370n	covering#n#2
bn:00058343n	nut#n#3
bn:00011308n	block#n#1
bn:00020452n	knowledge#n#1
bn:00024511n	current#n#2
bn:00035370n	flow#n#1
bn:14265130n	special_field
bn:00028639n	drawing#n#2
bn:00054149n	medium#n#1
bn:00046705n	information#n#2
bn:00529445n	Substellar_object
bn:00048646n	Jupiter#n#1
bn:00052888n	planet#n#1
bn:15769614n	planemo
bn:00055813n	moon#n#6
bn:16822386n	city_1000000+
bn:03268880n	Phoenix,_Arizona
bn:00009674n	Beijing#n#1
bn:00076248n	taxon#n#1
bn:00003357n	American_bison#n#1
bn:00009342n	bear#n#1
bn:00006125n	clothing#n#1
bn:00222845n	Fashion_accessory
bn:00015398n	cap#n#1
bn:00023236n	nation#n#1
bn:00026684n	Germany#n#1
bn:00010203n	India#n#1
bn:00062568n	pipe#n#2
bn:00013698n	bug#n#2
bn:00031485n	error#n#1
bn:00028604n	play#n#1
bn:00068373n	roulette#n#3
bn:00037180n	game#n#1
bn:00019767n	cliff#n#1
bn:00079075n	unicorn#n#1
bn:01260252n	Electrical_conductor
bn:16563113n	diamond
bn:00010660n	Birmingham#n#2
bn:00021678n	conductor#n#1
bn:00006182n	artist#n#1
bn:00021961n	outcome#n#2
bn:00062569n	pipe#n#1
bn:00054416n	product#n#1
bn:00021045n	good#n#4
bn:00081581n	work_of_art#n#1
bn:03315803n	bomb
bn:00034471n	film#n#1
bn:00062699n	place#n#1
bn:01850789n	landform
bn:00019172n	roundabout#n#1
bn:00048586n	junction#n#1
bn:00064608n	profession#n#2
bn:03408071n	KID
bn:02594382n	Video_game_developer
bn:00026716n	machine
bn:00007309n	car#n#1
bn:00007385n	motor_vehicle#n#1
bn:00035986n	piano#n#1
bn:00049008n	keyboard_instrument#n#1
bn:00046965n	instrument#n#6
bn:03335997n	City
bn:00017004n	celestial_body#n#1
bn:03483982n	dwarf_planet
bn:00055809n	Moon#n#1
bn:00015610n	Riyadh#n#1
bn:00009677n	being#n#2
bn:00007381n	trunk#n#4
bn:01265145n	exchange_(organized_market)
bn:00074675n	strike_zone#n#1
bn:00023797n	cricket#n#2
bn:00023796n	cricket#n#1
bn:00019173n	circle#n#6
bn:00005518n	surface_area#n#1
bn:00019169n	circle#n#1
bn:00021306n	compartment#n#2
bn:00014462n	cable_car#n#1
bn:00020726n	color#n#1
bn:00037175n	lemon#n#2
bn:00012001n	ivory#n#2
bn:00009694n	hag#n#1
bn:01837427n	fabulous_creature
bn:00644696n	legendary_humanoid
bn:00049146n	king#n#9
bn:00608880n	Emperor_(band)
bn:03688622n	King_ov_Hell
bn:00077665n	Turin#n#1
bn:00016325n	cartography#n#1
bn:00048985n	key#n#1
bn:00062202n	pianissimo#n#1
bn:01792742n	Piano_six_hands
bn:00046975n	musician#n#1
bn:00006172n	artillery#n#1
bn:00042221n	gun#n#1
bn:00082485v	aim#v#1
bn:00085461v	compensate#v#1
bn:00106989a	moving#a#1
bn:00082612v	angle#v#1
bn:00082613v	lean#v#1
bn:00082621v	angulate#v#1
bn:00097113a	angular#a#1
bn:00097114a	angulate#a#1
bn:00065856n	radian#n#1
bn:00086065v	cross#v#2
bn:00004126n	angle_of_inclination#n#1
bn:00005380n	degree#n#4
bn:00062766n	plane#n#2
bn:00062770n	plane_figure#n#1
bn:01632322n	physical_quantity
bn:16417478n	vital_articles_level_3
bn:00076831n	theorem#n#1
bn:00002181n	heading#n#2
bn:00002246n	knot#n#5
bn:00003111n	altitude#n#3
bn:00003164n	alumnus#n#1
bn:00004063n	angel#n#1
bn:00004192n	angular_distance#n#1
bn:00004198n	angular_velocity#n#1
bn:00004293n	ankle#n#1
bn:00005362n	arc#n#2
bn:00005459n	arcminute#n#1
bn:00006663n	astronomy#n#1
bn:00007559n	azimuth#n#1
bn:00007678n	Babylonia#n#1
bn:00008182n	ballistics#n#1
bn:00010701n	bisection#n#1
bn:00014365n	byte#n#1
bn:00014990n	Cambridge#n#3
bn:00016307n	Cartesian_coordinate_system#n#1
bn:00017010n	celestial_horizon#n#1
bn:00017017n	celestial_sphere#n#1
bn:00019189n	circular_function#n#1
bn:00019208n	circumference#n#3
bn:00020450n	cognate#n#2
bn:00021311n	compass#n#4
bn:00021316n	compass_point#n#1
bn:00021395n	part#n#1
bn:00021520n	concave_polygon#n#1
bn:00021855n	congruence#n#1
bn:00022373n	convex_polygon#n#1
bn:00022956n	cosine#n#1
bn:00022961n	cosec#n#1
bn:00023040n	cotan#n#1
bn:00028333n	dot_product#n#1
bn:00029051n	north#n#3
bn:00029424n	Earth#n#1
bn:00029486n	east_northeast#n#1
bn:00029491n	east_southeast#n#1
bn:00030306n	Euclidean_geometry#n#1
bn:00030409n	Riemannian_geometry#n#1
bn:00030862n	English_language#n#1
bn:00031294n	equator#n#1
bn:00031306n	equilateral_triangle#n#1
bn:00031365n	Eratosthenes#n#1
bn:00031792n	Euclid#n#1
bn:00031799n	Euclidean_space#n#1
bn:00032431n	exterior_angle#n#1
bn:00034676n	firearm#n#1
bn:00036765n	full_moon#n#1
bn:00040163n	geography#n#1
bn:00041240n	grade#n#3
bn:00041564n	great_circle#n#1
bn:00041634n	Greek#n#1
bn:00041636n	Greek_alphabet#n#1
bn:00042118n	rule_of_thumb#n#1
bn:00042380n	hour_angle#n#2
bn:00044140n	Hilbert_space#n#1
bn:00047099n	interior_angle#n#1
bn:00047162n	International_System_of_Units#n#1
bn:00047230n	interval#n#2
bn:00049112n	kilometre#n#1
bn:00050161n	Latin#n#1
bn:00050179n	latitude#n#3
bn:00050521n	left#n#1
bn:00051291n	line#n#4
bn:00051951n	longitude#n#1
bn:00056978n	NATO#n#1
bn:00057073n	navigation#n#1
bn:00057098n	north_by_east#n#1
bn:00057099n	north_by_west#n#1
