embedding_name,clue,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19
gloveWithHeuristicsTrial0,gigantic,dwarf,bison,bolt,beach,boom,egypt,field,mammoth,head,cell,scientist,nut,giant,mouse,well,crown,ivory,ham,fall,sink
gloveWithHeuristicsTrial1,beginning,shadow,box,octopus,dance,gas,turkey,suit,pyramid,point,satellite,pipe,tower,ground,swing,fall,lawyer,heart,conductor,cap,jet
gloveWithHeuristicsTrial2,important,flute,egypt,thumb,board,march,fork,lemon,grass,jack,cold,circle,olympus,fan,point,round,well,ghost,ham,heart,luck
gloveWithHeuristicsTrial3,television,opera,egypt,bark,tag,africa,fire,pistol,spider,cloak,hood,jupiter,carrot,satellite,whip,bottle,snowman,boot,king,rose,charge
gloveWithHeuristicsTrial4,physician,tie,post,flute,boom,shadow,head,cloak,fish,scientist,figure,brush,phoenix,nurse,needle,foot,pirate,racket,ground,ruler,kid
gloveWithHeuristicsTrial5,boy,flute,beach,robot,boom,india,march,africa,field,bug,change,parachute,turkey,pit,plate,whip,bottle,watch,key,torch,kid
gloveWithHeuristicsTrial6,mountain,piano,cross,pistol,mammoth,mercury,box,washer,grass,hood,jupiter,cat,torch,compound,greece,moon,fall,board,disease,alps,shoe
gloveWithHeuristicsTrial7,airplane,port,saturn,grass,cloak,fish,nut,server,pit,vacuum,well,pirate,spot,play,soul,unicorn,beijing,green,car,lock,jet
gloveWithHeuristicsTrial8,crude,kangaroo,march,cold,amazon,robin,glove,brush,pyramid,suit,oil,ice,pan,pound,round,ghost,bomb,ruler,alps,shoe,game
gloveWithHeuristicsTrial9,silver,kangaroo,beach,field,pistol,march,casino,tap,glass,server,table,oil,point,nurse,lock,germany,gold,pipe,ivory,kid,drill
word2vecWithHeuristicsTrial0,gigantic,dwarf,bison,bolt,beach,boom,egypt,field,mammoth,head,cell,scientist,nut,giant,mouse,well,crown,ivory,ham,fall,sink
word2vecWithHeuristicsTrial1,slide,shadow,box,octopus,dance,gas,turkey,suit,pyramid,point,satellite,pipe,tower,ground,swing,fall,lawyer,heart,conductor,cap,jet
word2vecWithHeuristicsTrial2,good,flute,egypt,thumb,board,march,fork,lemon,grass,jack,cold,circle,olympus,fan,point,round,well,ghost,ham,heart,luck
word2vecWithHeuristicsTrial3,queen,opera,egypt,bark,tag,africa,fire,pistol,spider,cloak,hood,jupiter,carrot,satellite,whip,bottle,snowman,boot,king,rose,charge
word2vecWithHeuristicsTrial4,researcher,tie,post,flute,boom,shadow,head,cloak,fish,scientist,figure,brush,phoenix,nurse,needle,foot,pirate,racket,ground,ruler,kid
word2vecWithHeuristicsTrial5,spaceship,flute,beach,robot,boom,india,march,africa,field,bug,change,parachute,turkey,pit,plate,whip,bottle,watch,key,torch,kid
word2vecWithHeuristicsTrial6,directors,piano,cross,pistol,mammoth,mercury,box,washer,grass,hood,jupiter,cat,torch,compound,greece,moon,fall,board,disease,alps,shoe
word2vecWithHeuristicsTrial7,vm,port,saturn,grass,cloak,fish,nut,server,pit,vacuum,well,pirate,spot,play,soul,unicorn,beijing,green,car,lock,jet
word2vecWithHeuristicsTrial8,bird,kangaroo,march,cold,amazon,robin,glove,brush,pyramid,suit,oil,ice,pan,pound,round,ghost,bomb,ruler,alps,shoe,game
word2vecWithHeuristicsTrial9,silver,kangaroo,beach,field,pistol,march,casino,tap,glass,server,table,oil,point,nurse,lock,germany,gold,pipe,ivory,kid,drill
bertWithHeuristicsTrial0,keep,dwarf,bison,bolt,beach,boom,egypt,field,mammoth,head,cell,scientist,nut,giant,mouse,well,crown,ivory,ham,fall,sink
bertWithHeuristicsTrial1,approximately,shadow,box,octopus,dance,gas,turkey,suit,pyramid,point,satellite,pipe,tower,ground,swing,fall,lawyer,heart,conductor,cap,jet
bertWithHeuristicsTrial2,length,flute,egypt,thumb,board,march,fork,lemon,grass,jack,cold,circle,olympus,fan,point,round,well,ghost,ham,heart,luck
bertWithHeuristicsTrial3,single,opera,egypt,bark,tag,africa,fire,pistol,spider,cloak,hood,jupiter,carrot,satellite,whip,bottle,snowman,boot,king,rose,charge
bertWithHeuristicsTrial4,date,tie,post,flute,boom,shadow,head,cloak,fish,scientist,figure,brush,phoenix,nurse,needle,foot,pirate,racket,ground,ruler,kid
bertWithHeuristicsTrial5,night,flute,beach,robot,boom,india,march,africa,field,bug,change,parachute,turkey,pit,plate,whip,bottle,watch,key,torch,kid
bertWithHeuristicsTrial6,outdoor,piano,cross,pistol,mammoth,mercury,box,washer,grass,hood,jupiter,cat,torch,compound,greece,moon,fall,board,disease,alps,shoe
bertWithHeuristicsTrial7,telephone,port,saturn,grass,cloak,fish,nut,server,pit,vacuum,well,pirate,spot,play,soul,unicorn,beijing,green,car,lock,jet
bertWithHeuristicsTrial8,poet,kangaroo,march,cold,amazon,robin,glove,brush,pyramid,suit,oil,ice,pan,pound,round,ghost,bomb,ruler,alps,shoe,game
bertWithHeuristicsTrial9,central,kangaroo,beach,field,pistol,march,casino,tap,glass,server,table,oil,point,nurse,lock,germany,gold,pipe,ivory,kid,drill
fasttextWithHeuristicsTrial0,gigantic,dwarf,bison,bolt,beach,boom,egypt,field,mammoth,head,cell,scientist,nut,giant,mouse,well,crown,ivory,ham,fall,sink
fasttextWithHeuristicsTrial1,drop,shadow,box,octopus,dance,gas,turkey,suit,pyramid,point,satellite,pipe,tower,ground,swing,fall,lawyer,heart,conductor,cap,jet
fasttextWithHeuristicsTrial2,good,flute,egypt,thumb,board,march,fork,lemon,grass,jack,cold,circle,olympus,fan,point,round,well,ghost,ham,heart,luck
fasttextWithHeuristicsTrial3,television,opera,egypt,bark,tag,africa,fire,pistol,spider,cloak,hood,jupiter,carrot,satellite,whip,bottle,snowman,boot,king,rose,charge
fasttextWithHeuristicsTrial4,doctor,tie,post,flute,boom,shadow,head,cloak,fish,scientist,figure,brush,phoenix,nurse,needle,foot,pirate,racket,ground,ruler,kid
fasttextWithHeuristicsTrial5,catch,flute,beach,robot,boom,india,march,africa,field,bug,change,parachute,turkey,pit,plate,whip,bottle,watch,key,torch,kid
fasttextWithHeuristicsTrial6,pass,piano,cross,pistol,mammoth,mercury,box,washer,grass,hood,jupiter,cat,torch,compound,greece,moon,fall,board,disease,alps,shoe
fasttextWithHeuristicsTrial7,place,port,saturn,grass,cloak,fish,nut,server,pit,vacuum,well,pirate,spot,play,soul,unicorn,beijing,green,car,lock,jet
fasttextWithHeuristicsTrial8,glacier,kangaroo,march,cold,amazon,robin,glove,brush,pyramid,suit,oil,ice,pan,pound,round,ghost,bomb,ruler,alps,shoe,game
fasttextWithHeuristicsTrial9,bolt,kangaroo,beach,field,pistol,march,casino,tap,glass,server,table,oil,point,nurse,lock,germany,gold,pipe,ivory,kid,drill
babelnetWithHeuristicsTrial0,lightning,dwarf,bison,bolt,beach,boom,egypt,field,mammoth,head,cell,scientist,nut,giant,mouse,well,crown,ivory,ham,fall,sink
babelnetWithHeuristicsTrial1,organ,shadow,box,octopus,dance,gas,turkey,suit,pyramid,point,satellite,pipe,tower,ground,swing,fall,lawyer,heart,conductor,cap,jet
babelnetWithHeuristicsTrial2,disk,flute,egypt,thumb,board,march,fork,lemon,grass,jack,cold,circle,olympus,fan,point,round,well,ghost,ham,heart,luck
babelnetWithHeuristicsTrial3,classical,opera,egypt,bark,tag,africa,fire,pistol,spider,cloak,hood,jupiter,carrot,satellite,whip,bottle,snowman,boot,king,rose,charge
babelnetWithHeuristicsTrial4,device,tie,post,flute,boom,shadow,head,cloak,fish,scientist,figure,brush,phoenix,nurse,needle,foot,pirate,racket,ground,ruler,kid
