source_id	source_names
Q4200838	"[""gold""]"
Q31909048	"[""bell""]"
Q11303	"[""skyscraper""]"
Q30758915	"[""park""]"
Q30101746	"[""park""]"
Q42190122	"[""france""]"
Q33489887	"[""park""]"
Q29965387	"[""park""]"
Q65510803	"[""angel""]"
Q749885	"[""mine""]"
Q59078601	"[""australia""]"
Q32020920	"[""park""]"
Q30531130	"[""park""]"
Q23069713	"[""pass""]"
Q20266394	"[""head""]"
Q33311230	"[""park""]"
Q1272737	"[""hood""]"
Q64169861	"[""church""]"
Q21901073	"[""turkey""]"
Q26630431	"[""lion""]"
Q17004912	"[""cast""]"
Q33259926	"[""park""]"
Q5558343	"[""giant""]"
Q16364187	"[""cat""]"
Q6697679	"[""luck""]"
Q23022141	"[""switch""]"
Q17755601	"[""gas""]"
Q3783761	"[""hawk""]"
Q3080563	"[""france""]"
Q11479759	"[""giant""]"
Q33135087	"[""park""]"
Q29976614	"[""park""]"
Q29732604	"[""shop""]"
Q84614630	"[""pyramid""]"
Q23821390	"[""string""]"
Q64581711	"[""cap""]"
Q65455209	"[""france""]"
Q3458062	"[""phoenix""]"
Q9177411	"[""boom""]"
Q23428016	"[""tap""]"
Q79838292	"[""revolution""]"
Q38021418	"[""phoenix""]"
Q76358425	"[""wake""]"
Q567018	"[""pyramid""]"
Q64561444	"[""trunk""]"
Q21506960	"[""card""]"
Q7426771	"[""saturn""]"
Q33084456	"[""park""]"
Q4982885	"[""buck""]"
Q666207	"[""novel""]"
Q5308388	"[""drop""]"
Q3544238	"[""spider""]"
Q33302843	"[""park""]"
Q5965871	"[""play""]"
Q29474217	"[""genius""]"
Q25439169	"[""ham""]"
Q9645	"[""chest""]"
Q4982794	"[""buck""]"
Q2142152	"[""temple""]"
Q30050418	"[""park""]"
Q7946827	"[""wave""]"
Q23140983	"[""spy""]"
Q7600580	"[""star""]"
Q64536628	"[""chest""]"
Q719453	"[""tower""]"
Q32052058	"[""park""]"
Q23680650	"[""tower""]"
Q23826330	"[""eagle""]"
Q32999203	"[""park""]"
Q64516857	"[""america""]"
Q624312	"[""soul""]"
Q1853601	"[""phoenix""]"
Q98912	"[""capital""]"
Q5068044	"[""chair""]"
Q28162524	"[""diamond""]"
Q74888620	"[""web""]"
Q64441818	"[""lap""]"
Q77082419	"[""china""]"
Q2149699	"[""buffalo""]"
Q64537977	"[""cross""]"
Q30079079	"[""park""]"
Q185789	"[""drop""]"
Q79322482	"[""giant""]"
Q6284642	"[""knight""]"
Q6498398	"[""fan""]"
Q5647106	"[""hand""]"
Q56518935	"[""europe""]"
Q49423733	"[""king""]"
Q29024483	"[""temple""]"
Q37558271	"[""gas""]"
Q840659	"[""laser""]"
Q64570663	"[""fan""]"
Q3648545	"[""cat""]"
Q30144333	"[""park""]"
Q188000	"[""crash""]"
Q30077414	"[""park""]"
Q4790813	"[""air""]"
Q26156976	"[""charge""]"
Q30070024	"[""park""]"
Q1797791	"[""seal""]"
Q1063167	"[""octopus""]"
Q19000355	"[""circle""]"
Q28041634	"[""screen""]"
Q24056061	"[""theater""]"
Q29710847	"[""dwarf""]"
Q3392083	"[""play""]"
Q60969110	"[""air""]"
